id,title,salary_from,salary_to,currency,town,experience,info,firm_name,url,platform
16,Client onboarding and Support Manager (Cryptocurrency ECN Platform),250000,350000,rub,Москва,От 3 до 6 лет,"Требования: Familiarity with programming fundamentals, command-line operations, bash scripting, and basic knowledge of Python. Fluent in English. Previous experience in... Ответственность: Client Onboarding: Proactively work with clients during the onboarding process. Ensure a swift and seamless connection, including client education and...",CrossOverMarkets,https://hh.ru/vacancy/84454585,HeadHunter
17,Game analyst,,,,Москва,От 1 года до 3 лет,"Требования: Умение грамотно визуализировать данные. Уверенное владение python с аналитическими библиотеками и SQL (мы используем ClickHouse). Навыки работы с необработанными данными.  Ответственность: Анализировать поведение пользователей и искать точки роста продукта. Проводить AB-тестирования и анализировать их результаты, выполнять проверку статистических гипотез. ",MNOGOGAMES,https://hh.ru/vacancy/84632628,HeadHunter
18,DevOps-инженер (Сбернадежность),,,,Москва,От 1 года до 3 лет,"Требования: Опыт разработки на языках программирования (Groovy/Java/Python). Опыт работы с технологиями контейнеризации (Docker/containerd). Опыт работы с Kubernetes/OpenShift... Ответственность: Поддержка и развитие микросервисной инфраструктуры. Взаимодействие с командами разработки, тестирования и сопровождения и проработка совместных решений. Проектирование, настройка и оптимизация...",СБЕР,https://hh.ru/vacancy/84689866,HeadHunter
19,NetOps инженер,,,,Москва,От 3 до 6 лет,"Требования: Широкий кругозор в Net и Dev. Опыт работы в cli/shell и автоматизации рутинных операций. Опыт Full Cycle Development: от... Ответственность: Модернизация и автоматизация сети, участие в выработке концепции на экспертном уровне. Переработка не совершенных процессов, legacy сервисов, систем и схем. ",Райффайзен Банк,https://hh.ru/vacancy/85566560,HeadHunter
20,DevOps engineer,,,,Москва,От 1 года до 3 лет,"Требования: Автоматизация работы с помощью Bash, Ansible, Python, Jenkins. Знания подходов и принципов CI/CD, написание pipeline. Опыт работы со стеком... Ответственность: Реализация CI/CD пайплайнов для микросервисов. Поддержка Dev/ИФТ стенда команды разработки. Работа с логами, расследование проблем и причин инцидентов. ",СБЕР,https://hh.ru/vacancy/85265857,HeadHunter
21,Devops инженер (SberLinux OS),240000,,rub,Москва,От 1 года до 3 лет,"Требования: ...Confluence, Git/BitBucket, GitLab). Автоматизация работы с помощью Bash, Ansible, Python, Jenkins. Знания подходов и принципов CI/CD, написание pipeline. Ответственность: Реализовывать CI/CD пайплайнов. Поддерживать Dev/Пром стенда команды разработки. Взаимодействовать с разработчиками/тестировщиками. Работать с логами, расследование проблем и...",SberTech,https://hh.ru/vacancy/84930915,HeadHunter
22,Аналитик данных (Big Data),,,,Москва,От 1 года до 3 лет,"Требования: Уверенные навыки Excel (Power Query, Power Pivot, DAX). Владение стандартным набором python-библиотек для анализа данных и умение использовать их... Ответственность: QA собственных инструментов. Презентация результатов. Ad-hoc запросы. Работать с разными продуктовыми и бизнес командами. Поддержка product/de/dev команд.","Лента, федеральная розничная сеть",https://hh.ru/vacancy/83569007,HeadHunter
23,DevOps инженер,,,,Москва,От 3 до 6 лет,"Требования: Опыт работы с фреймворками обработки данных (Flink, Kafka, Spark Streaming, и др.). Опыт разработки на Python, знакомства с Apache Airflow.  Ответственность: Участвовать в устранении и анализе сбоев и инцидентов. Управлять средами приложений (DEV/TEST/PROD). Осуществлять развитие всей инфраструктуры в Я.Облако...",РОСБАНК,https://hh.ru/vacancy/84549119,HeadHunter
24,Devops engineer linux (удаленно),,,,Москва,От 1 года до 3 лет,"Требования: Знание скриптовых языков программирования – Bash, Ruby, Python и т.п. Опыт работы с системой контроля кода Git. Опыт работы с... Ответственность: Непрерывное улучшение DevOps культуры в компании. Сопровождение инфраструктуру. Сопровождение процессов CI/CD. Сопровождение кластера Kubernete. Сопровождение dev стендов. ",ЛАНИТ,https://hh.ru/vacancy/82115079,HeadHunter
25,Аналитик (AppSec),,,,Москва,От 3 до 6 лет,"Требования: Знание скриптовых языков: Bash, Python. Умение эксплуатировать уязвимости. Знание Go на уровне junior+. Опыт внедрения анализаторов. Опыт работы с Docker. Ответственность: Формирование базы уязвимых продуктов на разных языках и фреймворках. Создание Docker-контейнеров с анализаторами. Взаимодействие с аналитиками, DEV, QA, экспертами...",МТС,https://hh.ru/vacancy/84539899,HeadHunter
26,SRE инженер,,,,Москва,От 1 года до 3 лет,"Требования: Опыт разработки на любом языке программирования (Python, Go, Ruby, Perl). Опыт работы в команде с применением практик DevOps.  Ответственность: Обеспечение бесперебойности и безопасности инфраструктуры: Dev, Stage, Production. Разработка и сопровождение CD. Разработка скриптов автоматизации рутинных задач администратора. ",СБЕР,https://hh.ru/vacancy/86038341,HeadHunter
27,Chief technical officer (CTO) Robo Dev,200000,350000,rub,Москва,Более 6 лет,"Требования: Высшее образование. Знание практик управления проектами. Отлично знает Python / C++. Работал с фреймворком ROS. Имеет опыт управления проектами в части... Ответственность: Планирование и контроль сроков, бюджета, качества разработки по проекту. Участвовать в разработке ПО для разноплановых роботов. Собрать команду разработчиков. ",Горизонт,https://hh.ru/vacancy/85956859,HeadHunter
28,Инженер по системам сбора и обработки данных,,,,Москва,От 3 до 6 лет,"Требования: Опыт работы с системами сбора, анализа и визуализации данных Elasticsearch/OpenSearch/Splunk. Опыт настройки и администрирования Kafka. Опыт конфигурирования фильтров... Ответственность: Установка и настройка программных продуктов. Настройка сбора и обработки информации поисковыми системами (OpenSearch/Splunk). Подготовка метрик и дашбордов, в том...",ЛАНИТ,https://hh.ru/vacancy/85760797,HeadHunter
29,Senior Python Developer,200000,450000,rub,Москва,От 3 до 6 лет,Опыт работы Python Dev от 3х лет. Unix-пользователь. Знание паттернов проектирования. Ответственность и самостоятельность.,МВП,https://hh.ru/vacancy/85590954,HeadHunter
30,Lead CI/CD Engineer,,,,Москва,От 3 до 6 лет,"Требования: Знания Linux систем, опыт их администрирования, опыта написания скриптов на python и bash. Навыки и опыт работы с Docker.  Ответственность: Автоматизировать развертывание сервисов на любых средах (dev/test/stage/prod). Разрабатывать инфраструктурные решения для организации платформ контейнерной виртуализации. ",РОСБАНК,https://hh.ru/vacancy/84571513,HeadHunter
31,Middle DevOps Engineer,,,,Москва,От 1 года до 3 лет,"Требования: Администрировать системы на Linux. Владеть скриптовым языком (Bash, Python, etc). Владеть контейнерными технологиями (Docker). Работать с системами развертывания Ansible.  Ответственность: CI\CD, написание пайплайнов. Масштабированием проекта. Администрированием инфраструктуры в рамках своего проекта. Мониторингом и логированием своего проекта. Взаимодействием с разработчиками...",СберЗдоровье,https://hh.ru/vacancy/86105309,HeadHunter
32,Frontend разработчик (Angular),,,,Москва,От 3 до 6 лет,"Требования: GraphQL. Kubernetes. GraphQl (Apollo client). Опыт работы в SCRUM-командах. Python 3. Функциональное программирование. Опыт работы в Linux, bash.  Ответственность: Сборка продуктов при помощи Webpack. Отладка, профилирование в chrome dev tools. Написание unit тестов (Jest). Работа в Git. ",INFOWATCH,https://hh.ru/vacancy/84502137,HeadHunter
33,DevOps Engineer,,,,Москва,От 1 года до 3 лет,"Требования: Понимание принципов работы Docker и Kubernetes. Навыки написания скриптов (Bash или Python). Опыт работы с облачной инфраструктурой. Опыт администрирования СУБД... Ответственность: Организация процесса CI/CD для компонентов приложения. Организация сред dev/stage/prod. Настройка сети для контуров и компонентов приложения, настройка...",ФК Гранд Капитал,https://hh.ru/vacancy/84886868,HeadHunter
34,"C++ developer (3D computer vision, robotics)",,,,Москва,От 3 до 6 лет,"Требования: Опыт в области компьютерного зрения, обработки изображений, 3D или game dev (от 2 лет). Знания базовых алгоритмов работы с... Ответственность: Работать на стыке robotics и computer vision, а именно заниматься интеграцией новых устройств, написанием кода для эффективного сбора данных с...",АБГ Технологии,https://hh.ru/vacancy/85266428,HeadHunter
35,Разработчик Python (Ключ),,,,Москва,От 1 года до 3 лет,"Требования: Уверенные знания и опыт коммерческой разработки на Python от 2х лет. Желание постоянно совершенствоваться и изучать новые технологии. Ответственность: ...8s на dev и prod через Gitlab CI/CD на кастомных пайплайнах, в планах перейти в dev на Gitlab...",Ростелеком Информационные Технологии,https://hh.ru/vacancy/81890854,HeadHunter
36,DevOps инженер,,,,Москва,От 3 до 6 лет,"Требования: HashiCorp Vault - опыт использования и умение настраивать интеграции. Python - минимум написание скриптов. Будет плюсом понимание ООП, умение писать сложные сценарии... Ответственность: Внедрение самоподдерживающихся инженерных практик (включая но, не ограничивая CI/CD, Code quality, и т.д.). Создание и внедрение стандартов автоматизации. ",Почтатех,https://hh.ru/vacancy/84991629,HeadHunter
